config,test_village,auc,pr_auc,event_detected,false_alarm_days_per_season
A_baseline,Dharali,0.913,0.066,0.0,6.667
A_baseline,Chositi,0.676,0.009,0.0,2.667
A_baseline,Malana,0.746,0.079,0.25,2.0
B_physics,Dharali,0.931,0.056,0.0,4.333
B_physics,Chositi,0.707,0.012,0.0,2.333
B_physics,Malana,0.75,0.075,0.25,1.667
C_phys+localnorm,Dharali,0.927,0.096,1.0,1.0
C_phys+localnorm,Chositi,0.692,0.083,1.0,12.667
C_phys+localnorm,Malana,0.733,0.085,0.25,1.333
D_all_features,Dharali,0.929,0.159,1.0,0.0
D_all_features,Chositi,0.573,0.016,1.0,31.667
D_all_features,Malana,0.756,0.092,0.25,1.333
E_all+monotonic,Dharali,0.92,0.106,1.0,8.333
E_all+monotonic,Chositi,0.715,0.01,0.0,18.0
E_all+monotonic,Malana,0.775,0.199,0.5,2.333
F_scale_free,Dharali,0.949,0.237,1.0,6.333
F_scale_free,Chositi,0.648,0.008,0.0,4.667
F_scale_free,Malana,0.764,0.117,0.25,3.333
