village,date,rain_24hr_mm
Dharali,2023-08-14,71.4
Dharali,2024-08-01,41.0
Dharali,2023-07-09,40.8
Dharali,2025-08-14,36.0
Dharali,2024-07-06,32.6
Dharali,2024-09-13,32.6
Dharali,2025-08-18,32.5
Dharali,2023-08-27,31.2
Chositi,2025-08-26,106.0
Chositi,2023-07-08,55.6
Chositi,2023-06-26,35.8
Chositi,2023-09-19,25.4
Chositi,2023-06-01,21.0
Chositi,2024-08-15,21.0
Chositi,2024-09-03,19.7
Chositi,2023-07-19,18.3
Malana,2023-08-14,67.0
Malana,2025-08-26,54.3
Malana,2023-07-10,45.4
Malana,2025-06-30,35.4
Malana,2024-09-14,31.9
Malana,2025-08-14,30.0
Malana,2023-08-23,28.7
Malana,2024-07-06,27.7
